track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,51Blml2LZPmy7TTiAg47vQ,U2,5y6wlw1LnqFnQFruMeiwGU,277476,1987-03-03,78,0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1wb4P4F0sxAQ2KXrRvsx6n,You're Still The One,5e4Dhzv426EvQe3aDb64jL,Shania Twain,4UMe0Ods7kygK6OISasZe9,212200,1997-11-04,78,0.585,0.494,3,-8.751,1,0.0353,0.363,0.0,0.0886,0.634,133.822,37i9dQZF1DWYMvTygsLWlG,Love Ballads
7w5AOd6HrDIHewHfpABEss,Wicked Game,7290H8m1Dwt8G7jm1y9CQx,Chris Isaak,5Das42Qx4AoU9iT4M7PW3U,289066,1989-06-13,78,0.663,0.296,9,-18.09,1,0.0294,0.68,0.00837,0.0879,0.359,112.306,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us (feat. Bill Withers),05YVYeV4HxYp5rrWalvuE1,"Grover Washington, Jr.",1lKYaRbV0AayVPss9i4oOp,438493,1985,78,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,37i9dQZF1DWYMvTygsLWlG,Love Ballads
7Ewz6bJ97vUqk5HdkvguFQ,Heaven,3Z02hBLubJxuFJfhacLSDc,Bryan Adams,2o2G49EPi4lua5zgxUKhLL,243360,1984-11-05,77,0.382,0.589,9,-7.315,0,0.0267,0.0465,0.0,0.122,0.335,140.059,37i9dQZF1DWYMvTygsLWlG,Love Ballads
4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,7JVJlkNNobS0GSoy4tCS96,271093,1992-11-17,77,0.332,0.214,4,-12.518,1,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1GeNWyZtCHbcp3ZWp8GTOO,The Lady In Red,2RpHsROrX075xfIwHn6B2U,Chris de Burgh,5Yi08NDFoVAnvHoXqpp9O5,256173,1986-01-01,77,0.548,0.294,10,-17.112,1,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,37i9dQZF1DWYMvTygsLWlG,Love Ballads
0vg4WnUWvze6pBOJDTq99k,You're Beautiful,7KMqksf0UMdyA0UCf4R3ux,James Blunt,1ekaxA9Q5GzUPCepx4wzMF,209493,2005-08-08,76,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6zC0mpGYwbNTpk9SKwh08f,Wonderful Tonight,6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,5MAL7e4EnKXW1hFg6NbFqP,225026,1977-11-01,76,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,37i9dQZF1DWYMvTygsLWlG,Love Ballads
0815caqt2Lytro5EIzMufT,You And Me,5PokPZn11xzZXyXSfnvIM3,Lifehouse,2hOY4rDu51XSBvtwfWgSmz,195493,2005-03-22,76,0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,37i9dQZF1DWYMvTygsLWlG,Love Ballads
7o9uu2GDtVDr9nsR7ZRN73,Time After Time,2BTZIqw0ntH9MvilQ3ewNY,Cyndi Lauper,1FvdZ1oizXwF9bxogujoF0,241333,1983-10-14,76,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2RChe0r2cMoyOvuKobZy44,Always,58lV9VcRSjABbAbfWS6skp,Bon Jovi,0tBfLeYdX3oBnl5NVpot4m,353026,1994-10-18,76,0.383,0.659,4,-5.558,1,0.0312,0.117,0.0,0.0778,0.327,140.795,37i9dQZF1DWYMvTygsLWlG,Love Ballads
0TAmnCzOtqRfvA38DDLTjj,Little Things,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,2sWX3HYnZjPZ9MrH6MFsBt,219040,2012-11-12,76,0.709,0.22,7,-11.856,1,0.0327,0.811,0.0,0.175,0.53,110.076,37i9dQZF1DWYMvTygsLWlG,Love Ballads
4LFwNJWoj74Yd71fIr1W8x,Right Here Waiting,0grdhNhiRLFBaFVyybqsj6,Richard Marx,0Zf6FJVyK6qUxmg1WMNruG,264333,1989-01-01,76,0.395,0.252,0,-13.589,1,0.0301,0.8,0.0,0.101,0.126,177.679,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6Up545NUflOiXo8cEraH49,You Say,40LHVA5BTQp9RxHOQ9JPYj,Lauren Daigle,6pmoTLfsPpn0wisT3YFJSN,274693,2018-09-07,76,0.494,0.632,5,-6.89,1,0.0342,0.682,0.0,0.0869,0.0797,147.873,37i9dQZF1DWYMvTygsLWlG,Love Ballads
