,album_id,album_name,release_date_x,artist_name_x,track_id,track_name,artist_name_y,release_date_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
21,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,2Cd9UYSrX0iE3DBm4VPAAa,Akin Ka Na Lang - Acoustic,Morissette,2015-01-01,0.577,0.218,7,-13.293,1,0.0403,0.853,0.0,0.11,0.21,129.407,audio_features,2Cd9UYSrX0iE3DBm4VPAAa,spotify:track:2Cd9UYSrX0iE3DBm4VPAAa,https://api.spotify.com/v1/tracks/2Cd9UYSrX0iE3DBm4VPAAa,https://api.spotify.com/v1/audio-analysis/2Cd9UYSrX0iE3DBm4VPAAa,260261,4
22,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,3AWaHa4tXgLVTk1Li818j2,Anong Nangyari Sa Ating Dalawa - Minus One,Morissette,2015-01-01,0.238,0.118,7,-15.37,1,0.0352,0.952,0.466,0.181,0.0785,142.478,audio_features,3AWaHa4tXgLVTk1Li818j2,spotify:track:3AWaHa4tXgLVTk1Li818j2,https://api.spotify.com/v1/tracks/3AWaHa4tXgLVTk1Li818j2,https://api.spotify.com/v1/audio-analysis/3AWaHa4tXgLVTk1Li818j2,287246,4
23,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,5i74AYZqulf7csDNVnXzYN,"Anong Nangyari Sa Ating Dalawa - From ""Two Wives Main""",Morissette,2015-01-01,0.314,0.185,7,-10.128,1,0.0359,0.961,0.00039,0.156,0.175,145.868,audio_features,5i74AYZqulf7csDNVnXzYN,spotify:track:5i74AYZqulf7csDNVnXzYN,https://api.spotify.com/v1/tracks/5i74AYZqulf7csDNVnXzYN,https://api.spotify.com/v1/audio-analysis/5i74AYZqulf7csDNVnXzYN,289231,1
24,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,4eNvchiaWf4Glh0AT2exds,Akin Ka Na Lang - Himig Handog Pop Lovesongs 2014 Version,Morissette,2015-01-01,0.508,0.537,7,-6.689,1,0.0275,0.153,8.6e-06,0.15,0.16,129.9,audio_features,4eNvchiaWf4Glh0AT2exds,spotify:track:4eNvchiaWf4Glh0AT2exds,https://api.spotify.com/v1/tracks/4eNvchiaWf4Glh0AT2exds,https://api.spotify.com/v1/audio-analysis/4eNvchiaWf4Glh0AT2exds,258877,4
25,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,5qKclh4S0LJSmbl4pwqsfO,"Kapag Ako Ay Nagmahal - From ""Flordeliza""",Morissette,2015-01-01,0.264,0.353,9,-7.133,1,0.029,0.589,0.101,0.139,0.0978,145.411,audio_features,5qKclh4S0LJSmbl4pwqsfO,spotify:track:5qKclh4S0LJSmbl4pwqsfO,https://api.spotify.com/v1/tracks/5qKclh4S0LJSmbl4pwqsfO,https://api.spotify.com/v1/audio-analysis/5qKclh4S0LJSmbl4pwqsfO,313812,4
26,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,1qoXYfWILyuN0EatImGlma,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",Morissette,2015-01-01,0.528,0.603,6,-5.883,1,0.0296,0.216,0.0,0.304,0.482,185.998,audio_features,1qoXYfWILyuN0EatImGlma,spotify:track:1qoXYfWILyuN0EatImGlma,https://api.spotify.com/v1/tracks/1qoXYfWILyuN0EatImGlma,https://api.spotify.com/v1/audio-analysis/1qoXYfWILyuN0EatImGlma,258015,4
27,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,6UH6huHCGfm154NQ7MVIxE,Di Mapaliwanag - Minus One,Morissette,2015-01-01,0.494,0.429,9,-10.884,1,0.0291,0.188,0.932,0.12,0.351,188.031,audio_features,6UH6huHCGfm154NQ7MVIxE,spotify:track:6UH6huHCGfm154NQ7MVIxE,https://api.spotify.com/v1/tracks/6UH6huHCGfm154NQ7MVIxE,https://api.spotify.com/v1/audio-analysis/6UH6huHCGfm154NQ7MVIxE,193806,4
28,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,66wsdi9LWCX6F2zhnwsm0h,Akin Ka Na Lang - Minus One,Morissette,2015-01-01,0.537,0.439,4,-11.567,0,0.0278,0.00678,0.139,0.152,0.0939,130.014,audio_features,66wsdi9LWCX6F2zhnwsm0h,spotify:track:66wsdi9LWCX6F2zhnwsm0h,https://api.spotify.com/v1/tracks/66wsdi9LWCX6F2zhnwsm0h,https://api.spotify.com/v1/audio-analysis/66wsdi9LWCX6F2zhnwsm0h,258877,4
29,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,2RVnhI8fmBDlEdwiOP6YBM,Hinahanap Pa Rin - Minus One,Morissette,2015-01-01,0.452,0.258,5,-13.496,1,0.0282,0.522,0.72,0.0741,0.0801,134.01,audio_features,2RVnhI8fmBDlEdwiOP6YBM,spotify:track:2RVnhI8fmBDlEdwiOP6YBM,https://api.spotify.com/v1/tracks/2RVnhI8fmBDlEdwiOP6YBM,https://api.spotify.com/v1/audio-analysis/2RVnhI8fmBDlEdwiOP6YBM,242184,4
30,2FDaAHJmC2h9G29zQG6mvc,Morissette,2015-01-01,Morissette,1NBWY3IjpqNGX6YX89pumV,You and I - Minus One,Morissette,2015-01-01,0.512,0.326,2,-12.522,1,0.0285,0.0836,0.629,0.25,0.0657,144.035,audio_features,1NBWY3IjpqNGX6YX89pumV,spotify:track:1NBWY3IjpqNGX6YX89pumV,https://api.spotify.com/v1/tracks/1NBWY3IjpqNGX6YX89pumV,https://api.spotify.com/v1/audio-analysis/1NBWY3IjpqNGX6YX89pumV,239442,4
