track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
0815caqt2Lytro5EIzMufT,You And Me,76,195493,5PokPZn11xzZXyXSfnvIM3,Lifehouse,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
7o9uu2GDtVDr9nsR7ZRN73,Time After Time,76,241333,2BTZIqw0ntH9MvilQ3ewNY,Cyndi Lauper,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2RChe0r2cMoyOvuKobZy44,Always,76,353026,58lV9VcRSjABbAbfWS6skp,Bon Jovi,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
0TAmnCzOtqRfvA38DDLTjj,Little Things,76,219040,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
4LFwNJWoj74Yd71fIr1W8x,Right Here Waiting,76,264333,0grdhNhiRLFBaFVyybqsj6,Richard Marx,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
6Up545NUflOiXo8cEraH49,You Say,76,274693,40LHVA5BTQp9RxHOQ9JPYj,Lauren Daigle,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
3VlbOrM6nYPprVvzBZllE5,Too Good At Goodbyes,76,201000,2wY79sveU1sp5g7SokKOiI,Sam Smith,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
4JehYebiI9JE8sR8MisGVb,Halo,75,261640,6vWDO969PvNqNYHIOW5v0m,Beyoncé,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
1gVgkQFOKa8Wc1HYsJtPdH,More Than Words,75,334106,6w7j5wQ5AI5OQYlcM15s2L,Extreme,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
54X78diSLoUDI3joC2bjMz,Purple Rain,75,520786,5a2EaR3hamoenG9rDuVn8j,Prince,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
2qhASBzpbFhPRtrnZ5lLnz,Unchained Melody,75,218013,4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,1,37i9dQZF1DWYMvTygsLWlG,Love Ballads
